                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9545,                 4.5847,                 4.1975,                0.00105,                0.15217,                0.00081,                0.00033,                 3.6707,                 4.3498,                 4.1481,             0.00043342,             0.00043342,             0.00043342
                      1,                 3.5909,                 4.1501,                 4.0678,                0.00116,                0.17391,                0.00273,                0.00079,                 3.6632,                 4.4656,                 4.1511,             0.00087476,             0.00087476,             0.00087476
                      2,                  3.165,                 3.6445,                 3.6156,                0.00121,                0.17391,                0.00142,                0.00053,                  3.687,                 4.4322,                 4.2834,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.9983,                 3.3307,                 3.2136,                0.00353,                 0.3913,                0.05436,                 0.0209,                 3.3641,                 4.0657,                  3.905,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.8634,                 2.9746,                 2.9754,                 0.0178,                0.06522,                 0.0071,                0.00233,                 3.2523,                 8.7356,                 3.5547,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.7943,                 2.8283,                 2.9069,                0.53068,                0.21739,                0.27795,                0.07456,                 2.6495,                 4.9488,                 3.0322,               0.001601,               0.001601,               0.001601
                      6,                 2.7857,                  2.645,                 2.8681,                0.42269,                0.43478,                0.32852,                0.10508,                 2.4352,                 3.4642,                 2.8357,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.7037,                  2.649,                  2.776,                0.39766,                0.45652,                0.38056,                0.14703,                  2.363,                 2.5645,                 2.7405,               0.001568,               0.001568,               0.001568
                      8,                 2.6463,                 2.4468,                 2.7012,                0.38085,                0.30763,                0.30104,                0.11565,                 2.4296,                 3.2644,                 2.8529,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.5765,                 2.4233,                 2.6531,                0.41176,                0.44138,                0.33677,                0.11951,                 2.3683,                  2.473,                 2.7448,               0.001535,               0.001535,               0.001535
                     10,                 2.6123,                 2.1982,                 2.6438,                0.31578,                0.23091,                0.22037,                0.06974,                 2.6498,                 3.1563,                 2.9064,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.5542,                 2.2792,                 2.5898,                0.49232,                0.43478,                0.51077,                0.17128,                 2.2601,                  2.105,                 2.5551,               0.001502,               0.001502,               0.001502
                     12,                 2.4415,                 2.0818,                 2.5266,                0.34903,                0.50123,                0.35051,                 0.1015,                 2.4004,                   2.27,                 2.6163,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.5565,                 2.1738,                 2.5152,                0.41155,                0.54348,                0.45186,                0.14855,                 2.3377,                 2.2811,                 2.6035,               0.001469,               0.001469,               0.001469
                     14,                 2.4464,                 2.0928,                 2.5233,                0.50823,                0.54348,                0.45348,                0.16738,                 2.2035,                 2.2491,                 2.6364,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.3108,                  1.899,                 2.4061,                0.68899,                0.54348,                0.61289,                0.25552,                 2.1538,                 1.8007,                 2.4873,               0.001436,               0.001436,               0.001436
                     16,                  2.291,                 1.9117,                  2.385,                0.57679,                0.54348,                0.51958,                0.18917,                 2.2581,                  2.272,                 2.6604,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.2664,                 1.8151,                 2.3204,                0.56969,                0.58696,                0.48735,                0.18663,                 2.2275,                 2.1457,                 2.5918,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.1813,                 1.8124,                  2.233,                 0.6903,                0.63043,                0.70558,                 0.3034,                 2.2248,                 1.6657,                 2.4692,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.2249,                 1.7807,                 2.2683,                0.78886,                0.56522,                0.69988,                0.27961,                 2.1941,                 1.9491,                 2.4536,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.1423,                 1.7335,                 2.2325,                0.65946,                0.63043,                0.64045,                0.24482,                 2.1692,                 1.7317,                  2.354,              0.0013534,              0.0013534,              0.0013534
                     21,                 2.2096,                 1.7226,                 2.2767,                0.72514,                0.54348,                0.62389,                0.23885,                 2.2014,                 1.8847,                 2.4198,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.1063,                 1.6382,                 2.1243,                0.83072,                0.65217,                0.78442,                0.37042,                 1.9986,                 1.6869,                 2.2834,              0.0013204,              0.0013204,              0.0013204
                     23,                 2.0952,                 1.6088,                 2.1824,                0.69819,                0.54348,                0.57655,                0.22231,                 2.3633,                 1.8886,                 2.5593,              0.0013039,              0.0013039,              0.0013039
                     24,                 2.1105,                 1.5694,                   2.18,                0.70796,                0.67391,                0.73835,                0.26315,                 2.2664,                 1.5312,                  2.449,              0.0012874,              0.0012874,              0.0012874
                     25,                 2.0197,                 1.5795,                 2.1237,                0.87098,                0.63043,                0.76345,                 0.3098,                 2.0039,                 1.6141,                 2.3068,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.0677,                 1.5474,                 2.1409,                0.94272,                0.71564,                0.82594,                0.34017,                 2.0402,                 1.5419,                 2.2868,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.0258,                 1.5356,                 2.0874,                0.77879,                0.69565,                0.79222,                0.29313,                 2.1665,                 1.7672,                 2.3527,              0.0012379,              0.0012379,              0.0012379
                     28,                  1.962,                 1.4151,                 2.0259,                0.87056,                0.73913,                0.84601,                0.36943,                 2.0052,                 1.4245,                 2.2033,              0.0012214,              0.0012214,              0.0012214
                     29,                 2.0237,                  1.506,                 2.0709,                0.79874,                 0.6087,                0.68545,                0.28072,                 2.2364,                 1.7536,                 2.4516,              0.0012049,              0.0012049,              0.0012049
                     30,                 2.0084,                 1.5018,                 2.0608,                0.76916,                0.69565,                0.76875,                0.33253,                 2.0778,                 1.5392,                 2.3556,              0.0011884,              0.0011884,              0.0011884
                     31,                 2.0303,                 1.4983,                 2.1071,                0.75496,                0.67391,                0.77013,                0.28388,                 2.3144,                 1.6392,                 2.4981,              0.0011719,              0.0011719,              0.0011719
                     32,                  1.978,                 1.3977,                 2.0449,                 0.8135,                0.75865,                0.82012,                0.32944,                 2.1794,                 1.6589,                  2.361,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.9816,                 1.4361,                 2.0194,                0.83995,                0.68466,                0.83177,                0.35122,                 2.1273,                 1.4741,                 2.3714,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.9709,                 1.3969,                 2.0332,                 0.8944,                0.73659,                0.84252,                0.32038,                 2.2606,                 1.5656,                 2.4263,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.9739,                 1.3893,                 2.0627,                0.77943,                0.71739,                0.79257,                0.35055,                 2.0381,                 1.4917,                 2.3292,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.8289,                 1.4049,                 1.9377,                0.94283,                0.71739,                0.83935,                0.34613,                 2.0877,                 1.4745,                 2.3482,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8961,                 1.3702,                 1.9978,                0.91399,                0.80435,                0.90166,                0.36718,                 2.1242,                 1.3026,                 2.2832,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.8481,                 1.3239,                 1.9482,                0.86193,                0.67866,                0.79684,                0.32187,                 2.1941,                 1.6239,                 2.3675,              0.0010564,              0.0010564,              0.0010564
